Clock frequency is approx. 2533.6 MHz
Memory mountain (MB/sec)
	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	4605	3192	2184	1602	1260	1028	865	746	665	616	576	543	516	503	491	486	
64m	4613	3190	2182	1602	1254	1032	862	749	662	616	577	545	518	504	490	485	
32m	4619	3221	2183	1615	1260	1037	874	746	670	619	580	543	522	507	496	492	
16m	4637	3390	2384	1765	1380	1127	950	822	736	686	654	633	641	661	816	972	
8m	5058	4930	3840	3038	2798	2345	2005	1754	1644	1634	1627	1620	1616	1613	1611	1612	
4m	5055	4919	3844	3033	2796	2345	2005	1753	1645	1634	1626	1620	1615	1612	1612	1611	
2m	5047	4907	3841	3026	2793	2344	2003	1755	1646	1635	1627	1620	1614	1610	1613	1613	
1024k	5038	4900	3834	3027	2789	2342	2003	1753	1643	1632	1625	1622	1614	1614	1612	1611	
512k	5039	4898	3840	3036	2789	2343	2007	1758	1647	1638	1638	1650	1659	1675	1738	1745	
256k	5062	4975	4112	3591	3518	3205	2761	2486	2420	2437	2472	2500	2485	2544	2562	2581	
128k	5065	5060	4540	4425	3834	3400	2920	2627	2621	2607	2606	2654	2665	2623	2643	2605	
64k	5064	5055	4554	4415	3850	3436	2940	2682	2626	2616	2607	2623	3402	3250	3090	3356	
32k	5059	5039	5031	5008	4980	4977	4942	4941	4922	4919	4892	4875	4852	4863	4832	4748	
16k	5052	5013	4988	4957	4926	4887	4837	4837	4803	4748	4751	4698	4715	4681	4580	4581	
8k	5033	4969	4894	4844	4803	4713	4695	4611	4547	4550	4491	4336	4407	4362	4253	4180	
4k	4999	4885	4803	4632	4575	4446	4434	4218	4471	4539	4575	4336	4302	4347	4253	4180	
2k	4951	4747	4467	4301	4229	4531	4324	3745	3800	3987	3413	3758	3420	3167	3695	3800	
1k	4840	4408	4168	4404	4210	3927	3529	3313	3167	3052	3378	2787	2534	2929	3167	2613	
